experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,dataset.counts_selected.pos,dataset.counts_selected.neg,dataset.breakdown_selected.positive_quality.high,dataset.breakdown_selected.positive_quality.medium,dataset.breakdown_selected.positive_call_type.growl,dataset.breakdown_selected.positive_call_type.grunt,dataset.breakdown_selected.negative_total,metrics.iid.default_0.5.threshold,metrics.iid.default_0.5.precision,metrics.iid.default_0.5.recall,metrics.iid.default_0.5.f1,metrics.iid.default_0.5.accuracy,metrics.iid.default_0.5.tp,metrics.iid.default_0.5.fp,metrics.iid.default_0.5.fn,metrics.iid.default_0.5.tn,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.best_f1.tp,metrics.iid.best_f1.fp,metrics.iid.best_f1.fn,metrics.iid.best_f1.tn,metrics.iid.high_precision.threshold,metrics.iid.high_precision.precision,metrics.iid.high_precision.recall,metrics.iid.high_precision.f1,metrics.iid.high_precision.accuracy,metrics.iid.high_precision.tp,metrics.iid.high_precision.fp,metrics.iid.high_precision.fn,metrics.iid.high_precision.tn,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.default_0.5.threshold,metrics.ood.default_0.5.precision,metrics.ood.default_0.5.recall,metrics.ood.default_0.5.f1,metrics.ood.default_0.5.accuracy,metrics.ood.default_0.5.tp,metrics.ood.default_0.5.fp,metrics.ood.default_0.5.fn,metrics.ood.default_0.5.tn,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.best_f1.tp,metrics.ood.best_f1.fp,metrics.ood.best_f1.fn,metrics.ood.best_f1.tn,metrics.ood.high_precision.threshold,metrics.ood.high_precision.precision,metrics.ood.high_precision.recall,metrics.ood.high_precision.f1,metrics.ood.high_precision.accuracy,metrics.ood.high_precision.tp,metrics.ood.high_precision.fp,metrics.ood.high_precision.fn,metrics.ood.high_precision.tn,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,metadata.hostname,metadata.user,__exp_path,metrics.iid.high_precision,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,dataset.breakdown_selected.positive_quality.low,dataset.breakdown_selected.positive_call_type.both,metrics.ood.high_precision,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training.dropout,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio
stage2_sweep_001,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.672,0,0,966,1977,1.0,0.491,0.532,0.511,0.666,514,532,452,1445,,,,,,,,,,0.616,0.743,0.5,0.0,0.0,0.0,0.475,0,0,1872,1693,1.0,0.519,0.164,0.249,0.481,307,285,1565,1408,,,,,,,,,,0.496,0.473,2025-09-18T20:00:41.269675Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage2_sweep_001,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,512.0,False,0.25,False,repeat,0.0
stage2_sweep_002,456,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,456,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.662,0,0,966,1890,1.0,0.338,1.0,0.505,0.338,966,1890,0,0,,,,,,,,,,0.554,0.666,0.5,0.0,0.0,0.0,0.468,0,0,1889,1660,1.0,0.532,1.0,0.695,0.532,1889,1660,0,0,,,,,,,,,,0.371,0.379,2025-09-18T20:21:28.171268Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage2_sweep_002,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,512.0,False,0.25,False,repeat,0.0
stage2_sweep_003,789,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,789,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.647,0,0,1281,2343,0.95,0.555,0.865,0.676,0.707,1108,890,173,1453,,,,,,,,,,0.761,0.888,0.5,0.0,0.0,0.0,0.461,0,0,2136,1827,1.0,0.55,1.0,0.709,0.558,2136,1750,0,77,,,,,,,,,,0.683,0.736,2025-09-18T20:43:53.552528Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage2_sweep_003,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,512.0,False,0.25,False,repeat,0.0
stage2_sweep_004,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.631,0,0,1401,2396,1.0,0.464,0.941,0.622,0.577,1319,1523,82,873,,,,,,,,,,0.723,0.816,0.5,0.0,0.0,0.0,0.464,0,0,2239,1935,1.0,0.594,0.698,0.642,0.582,1563,1068,676,867,,,,,,,,,,0.573,0.522,2025-09-18T21:06:17.051342Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage2_sweep_004,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,True,2.0,0.25,0.0005,,512.0,False,0.25,False,repeat,0.0
stage2_sweep_005,456,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,456,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.664,0,0,1096,2167,0.95,0.543,0.758,0.633,0.705,831,698,265,1469,,,,,,,,,,0.724,0.831,0.5,0.0,0.0,0.0,0.477,0,0,1941,1771,1.0,0.523,1.0,0.687,0.523,1941,1771,0,0,,,,,,,,,,0.463,0.449,2025-09-18T21:28:11.358982Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage2_sweep_005,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,True,2.0,0.25,0.0005,,512.0,False,0.25,False,repeat,0.0
stage2_sweep_006,789,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,789,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.674,0,0,939,1937,1.0,0.437,0.974,0.603,0.582,915,1179,24,758,,,,,,,,,,0.791,0.891,0.5,0.0,0.0,0.0,0.478,0,0,1910,1747,1.0,0.566,0.831,0.674,0.579,1588,1217,322,530,,,,,,,,,,0.563,0.541,2025-09-18T21:51:38.328589Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage2_sweep_006,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,True,2.0,0.25,0.0005,,512.0,False,0.25,False,repeat,0.0
stage2_sweep_007,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.682,0,0,680,1457,1.0,0.61,0.944,0.741,0.79,642,410,38,1047,,,,,,,,,,0.82,0.913,0.5,0.0,0.0,0.0,0.464,0,0,1550,1340,1.0,0.753,0.967,0.847,0.812,1499,491,51,849,,,,,,,,,,0.763,0.805,2025-09-18T22:14:09.135682Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage2_sweep_007,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,512.0,True,0.25,False,repeat,0.0
stage2_sweep_008,456,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,456,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.673,0,0,948,1955,1.0,0.442,0.992,0.611,0.588,940,1189,8,766,,,,,,,,,,0.617,0.826,0.5,0.0,0.0,0.0,0.476,0,0,1857,1685,1.0,0.591,0.975,0.736,0.634,1810,1251,47,434,,,,,,,,,,0.572,0.633,2025-09-18T22:36:44.153706Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage2_sweep_008,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,512.0,True,0.25,False,repeat,0.0
stage2_sweep_009,789,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,789,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.67,0,0,883,1795,0.95,0.485,0.81,0.607,0.654,715,758,168,1037,,,,,,,,,,0.734,0.871,0.5,0.0,0.0,0.0,0.468,0,0,1779,1565,1.0,0.532,1.0,0.695,0.532,1779,1565,0,0,,,,,,,,,,0.403,0.386,2025-09-18T22:59:51.717833Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage2_sweep_009,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,512.0,True,0.25,False,repeat,0.0
stage2_sweep_010,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.681,0,0,1095,2335,1.0,0.388,0.237,0.294,0.637,259,409,836,1926,,,,,,,,,,0.53,0.696,0.5,0.0,0.0,0.0,0.488,0,0,2025,1930,1.0,0.484,0.138,0.214,0.483,279,298,1746,1632,,,,,,,,,,0.49,0.483,2025-09-18T23:22:46.424972Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage2_sweep_010,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,True,2.0,0.25,0.0005,,512.0,True,0.25,False,repeat,0.0
stage2_sweep_011,456,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,456,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.67,0,0,1101,2234,1.0,0.441,0.995,0.611,0.582,1095,1387,6,847,,,,,,,,,,0.745,0.876,0.5,0.0,0.0,0.0,0.478,0,0,2150,1967,1.0,0.585,0.875,0.701,0.611,1882,1335,268,632,,,,,,,,,,0.582,0.576,2025-09-18T23:45:47.555971Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage2_sweep_011,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,True,2.0,0.25,0.0005,,512.0,True,0.25,False,repeat,0.0
