experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,dataset.counts_selected.pos,dataset.counts_selected.neg,dataset.breakdown_selected.positive_quality.high,dataset.breakdown_selected.positive_quality.medium,dataset.breakdown_selected.positive_call_type.growl,dataset.breakdown_selected.positive_call_type.grunt,dataset.breakdown_selected.negative_total,metrics.iid.default_0.5.threshold,metrics.iid.default_0.5.precision,metrics.iid.default_0.5.recall,metrics.iid.default_0.5.f1,metrics.iid.default_0.5.accuracy,metrics.iid.default_0.5.tp,metrics.iid.default_0.5.fp,metrics.iid.default_0.5.fn,metrics.iid.default_0.5.tn,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.best_f1.tp,metrics.iid.best_f1.fp,metrics.iid.best_f1.fn,metrics.iid.best_f1.tn,metrics.iid.high_precision.threshold,metrics.iid.high_precision.precision,metrics.iid.high_precision.recall,metrics.iid.high_precision.f1,metrics.iid.high_precision.accuracy,metrics.iid.high_precision.tp,metrics.iid.high_precision.fp,metrics.iid.high_precision.fn,metrics.iid.high_precision.tn,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.default_0.5.threshold,metrics.ood.default_0.5.precision,metrics.ood.default_0.5.recall,metrics.ood.default_0.5.f1,metrics.ood.default_0.5.accuracy,metrics.ood.default_0.5.tp,metrics.ood.default_0.5.fp,metrics.ood.default_0.5.fn,metrics.ood.default_0.5.tn,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.best_f1.tp,metrics.ood.best_f1.fp,metrics.ood.best_f1.fn,metrics.ood.best_f1.tn,metrics.ood.high_precision.threshold,metrics.ood.high_precision.precision,metrics.ood.high_precision.recall,metrics.ood.high_precision.f1,metrics.ood.high_precision.accuracy,metrics.ood.high_precision.tp,metrics.ood.high_precision.fp,metrics.ood.high_precision.fn,metrics.ood.high_precision.tn,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,metadata.hostname,metadata.user,__exp_path,metrics.iid.high_precision,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,dataset.breakdown_selected.positive_quality.low,dataset.breakdown_selected.positive_call_type.both,metrics.ood.high_precision,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training.dropout,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio
sweep_011,123,50,8,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.565,0.015,0.029,0.668,13,10,860,1738,1.0,0.541,0.236,0.329,0.679,206,175,667,1573,,,,,,,,,,0.567,0.7,0.5,0.609,0.008,0.015,0.46,14,9,1792,1523,1.0,0.472,0.08,0.136,0.454,144,161,1662,1371,0.3,1.0,0.001,0.002,0.46,2.0,0.0,1804.0,1532.0,0.487,0.452,2025-09-10T03:48:54.009524Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\sweep_011,,,,0.0,8000.0,1.0,,778.0,,,0.5,True,1.0,0.5,0.0001,,512.0,True,0.5,True,linear,0.5
sweep_012,123,50,8,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.48,0.011,0.021,0.67,12,13,1080,2205,1.0,0.339,0.076,0.124,0.646,83,162,1009,2056,,,,,,,,,,0.502,0.671,0.5,0.296,0.004,0.008,0.491,8,19,1964,1906,1.0,0.257,0.028,0.051,0.467,56,162,1916,1763,,,,,,,,,,0.472,0.48,2025-09-10T04:08:46.776894Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\sweep_012,,,,0.0,8000.0,1.0,,778.0,,,0.5,False,,,0.0001,,512.0,True,0.5,True,linear,0.5
sweep_013,123,50,8,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.611,0.02,0.04,0.681,22,14,1054,2257,1.0,0.357,0.097,0.152,0.654,104,187,972,2084,,,,,,,,,,0.508,0.682,0.5,0.435,0.005,0.01,0.477,10,13,1990,1818,1.0,0.417,0.037,0.069,0.47,75,105,1925,1726,0.3,1.0,0.001,0.001,0.478,1.0,0.0,1999.0,1831.0,0.49,0.473,2025-09-10T04:30:04.994333Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\sweep_013,,,,0.0,8000.0,1.0,,778.0,,,0.5,True,1.0,0.5,0.0005,,512.0,True,0.5,True,linear,0.25
sweep_014,123,50,8,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.529,0.071,0.126,0.665,101,90,1315,2687,1.0,0.442,0.45,0.446,0.622,637,804,779,1973,,,,,,,,,,0.582,0.708,0.5,0.685,0.066,0.12,0.483,185,85,2639,2362,1.0,0.562,0.328,0.414,0.503,925,720,1899,1727,,,,,,,,,,0.529,0.478,2025-09-10T05:02:27.173280Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\sweep_014,,,,0.0,8000.0,1.0,,778.0,,,0.5,False,,,0.0005,,512.0,True,0.5,True,linear,0.25
sweep_015,123,50,8,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.457,0.081,0.137,0.728,48,57,547,1566,1.0,0.402,0.808,0.537,0.625,481,717,114,906,,,,,,,,,,0.706,0.851,0.5,0.554,0.057,0.104,0.505,82,66,1349,1360,1.0,0.582,0.744,0.653,0.604,1064,763,367,663,,,,,,,,,,0.608,0.593,2025-09-10T05:25:56.357838Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\sweep_015,,,,0.0,8000.0,1.0,,778.0,,,0.5,True,1.0,0.5,0.0005,,512.0,True,0.5,True,linear,0.5
sweep_016,123,50,8,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.407,0.053,0.095,0.672,50,73,885,1909,1.0,0.522,0.776,0.625,0.701,726,664,209,1318,,,,,,,,,,0.717,0.824,0.5,0.451,0.017,0.034,0.479,32,39,1799,1657,1.0,0.509,0.354,0.418,0.488,648,624,1183,1072,,,,,,,,,,0.485,0.474,2025-09-10T05:46:36.345886Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\sweep_016,,,,0.0,8000.0,1.0,,778.0,,,0.5,False,,,0.0005,,512.0,True,0.5,True,linear,0.5
sweep_017,123,50,8,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.633,0.123,0.205,0.901,19,11,136,1321,1.0,0.589,0.703,0.641,0.918,109,76,46,1256,,,,,,,,,,0.825,0.963,0.5,0.818,0.059,0.111,0.616,45,10,714,1114,1.0,0.737,0.527,0.614,0.733,400,143,359,981,,,,,,,,,,0.701,0.723,2025-09-10T06:07:19.910137Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\sweep_017,,,,0.0,8000.0,1.0,,778.0,,,0.5,True,1.0,0.5,0.0001,,1024.0,True,0.25,True,linear,0.25
sweep_018,123,50,8,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.243,0.008,0.016,0.721,9,28,1070,2823,1.0,0.155,0.057,0.084,0.655,62,337,1017,2514,,,,,,,,,,0.47,0.713,0.5,0.487,0.016,0.031,0.543,37,39,2311,2756,1.0,0.396,0.111,0.173,0.517,260,397,2088,2398,,,,,,,,,,0.485,0.535,2025-09-10T23:25:20.153372Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\sweep_018,,,,0.0,8000.0,1.0,,778.0,,,0.5,False,,,0.0001,,1024.0,True,0.25,True,linear,0.25
sweep_019,123,50,8,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.344,0.006,0.011,0.577,11,21,1893,2596,1.0,0.424,0.061,0.107,0.57,117,159,1787,2458,,,,,,,,,,0.5,0.579,0.5,0.481,0.003,0.007,0.393,13,14,3709,2395,1.0,0.574,0.06,0.109,0.402,225,167,3497,2242,,,,,,,,,,0.495,0.391,2025-09-10T23:51:41.725739Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\sweep_019,,,,0.0,8000.0,1.0,,778.0,,,0.5,True,1.0,0.5,0.0001,,1024.0,True,0.25,True,linear,0.5
sweep_020,123,50,8,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.562,0.03,0.056,0.607,41,32,1341,2076,1.0,0.505,0.219,0.306,0.606,303,297,1079,1811,,,,,,,,,,0.541,0.625,0.5,0.533,0.025,0.048,0.451,56,49,2185,1781,1.0,0.633,0.267,0.376,0.511,598,346,1643,1484,,,,,,,,,,0.539,0.472,2025-09-11T00:16:42.222892Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\sweep_020,,,,0.0,8000.0,1.0,,778.0,,,0.5,False,,,0.0001,,1024.0,True,0.25,True,linear,0.5
