experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,dataset.counts_selected.pos,dataset.counts_selected.neg,dataset.breakdown_selected.positive_quality.high,dataset.breakdown_selected.positive_quality.medium,dataset.breakdown_selected.positive_call_type.growl,dataset.breakdown_selected.positive_call_type.grunt,dataset.breakdown_selected.negative_total,metrics.iid.default_0.5.threshold,metrics.iid.default_0.5.precision,metrics.iid.default_0.5.recall,metrics.iid.default_0.5.f1,metrics.iid.default_0.5.accuracy,metrics.iid.default_0.5.tp,metrics.iid.default_0.5.fp,metrics.iid.default_0.5.fn,metrics.iid.default_0.5.tn,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.best_f1.tp,metrics.iid.best_f1.fp,metrics.iid.best_f1.fn,metrics.iid.best_f1.tn,metrics.iid.high_precision.threshold,metrics.iid.high_precision.precision,metrics.iid.high_precision.recall,metrics.iid.high_precision.f1,metrics.iid.high_precision.accuracy,metrics.iid.high_precision.tp,metrics.iid.high_precision.fp,metrics.iid.high_precision.fn,metrics.iid.high_precision.tn,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.default_0.5.threshold,metrics.ood.default_0.5.precision,metrics.ood.default_0.5.recall,metrics.ood.default_0.5.f1,metrics.ood.default_0.5.accuracy,metrics.ood.default_0.5.tp,metrics.ood.default_0.5.fp,metrics.ood.default_0.5.fn,metrics.ood.default_0.5.tn,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.best_f1.tp,metrics.ood.best_f1.fp,metrics.ood.best_f1.fn,metrics.ood.best_f1.tn,metrics.ood.high_precision.threshold,metrics.ood.high_precision.precision,metrics.ood.high_precision.recall,metrics.ood.high_precision.f1,metrics.ood.high_precision.accuracy,metrics.ood.high_precision.tp,metrics.ood.high_precision.fp,metrics.ood.high_precision.fn,metrics.ood.high_precision.tn,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,metadata.hostname,metadata.user,__exp_path,metrics.iid.high_precision,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,dataset.breakdown_selected.positive_quality.low,dataset.breakdown_selected.positive_call_type.both,metrics.ood.high_precision,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training.dropout,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio
stage4_001,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,123.0,245.0,245.0,245.0,,6.0,139.0,245.0,0.5,0.0,0.0,0.0,0.746,0,0,597,1750,0.85,0.408,0.956,0.572,0.637,571,827,26,923,,,,,,,,,,0.76,0.919,0.5,0.0,0.0,0.0,0.533,0,0,1083,1235,0.8,0.626,0.947,0.754,0.711,1026,612,57,623,,,,,,,,,,0.759,0.835,2025-10-14T20:21:42.916868Z,469e3616267207698b94bf924f4e309fbb95ddcb,TylerSchwenksPC,tyler,experiments\stage4_001,,0.0,15000.0,0.0,15000.0,1.0,,100.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.0
stage4_002,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,456.0,245.0,245.0,245.0,,6.0,139.0,245.0,0.5,0.0,0.0,0.0,0.621,0,0,1563,2558,0.9,0.495,0.806,0.613,0.614,1259,1286,304,1272,,,,,,,,,,0.702,0.816,0.5,0.0,0.0,0.0,0.469,0,0,2807,2484,1.0,0.531,1.0,0.693,0.531,2807,2484,0,0,,,,,,,,,,0.519,0.496,2025-10-14T20:35:55.830851Z,469e3616267207698b94bf924f4e309fbb95ddcb,TylerSchwenksPC,tyler,experiments\stage4_002,,0.0,15000.0,0.0,15000.0,1.0,,100.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.0
stage4_003,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,789.0,245.0,245.0,245.0,,6.0,139.0,245.0,0.5,0.0,0.0,0.0,0.674,0,0,821,1697,0.75,0.445,0.615,0.517,0.625,505,629,316,1068,,,,,,,,,,0.622,0.73,0.5,0.0,0.0,0.0,0.43,0,0,1710,1289,1.0,0.57,1.0,0.726,0.57,1710,1289,0,0,,,,,,,,,,0.326,0.326,2025-10-14T20:51:00.456004Z,469e3616267207698b94bf924f4e309fbb95ddcb,TylerSchwenksPC,tyler,experiments\stage4_003,,0.0,15000.0,0.0,15000.0,1.0,,100.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.0
stage4_004,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,123.0,245.0,245.0,245.0,,6.0,139.0,245.0,0.5,0.0,0.0,0.0,0.687,0,0,986,2168,1.0,0.313,1.0,0.476,0.313,986,2168,0,0,,,,,,,,,,0.382,0.621,0.5,0.0,0.0,0.0,0.499,0,0,1899,1888,1.0,0.501,1.0,0.668,0.501,1899,1888,0,0,,,,,,,,,,0.197,0.341,2025-10-14T21:04:56.279671Z,469e3616267207698b94bf924f4e309fbb95ddcb,TylerSchwenksPC,tyler,experiments\stage4_004,,0.0,15000.0,0.0,15000.0,1.0,,100.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.3
stage4_005,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,456.0,245.0,245.0,245.0,,6.0,139.0,245.0,0.5,0.0,0.0,0.0,0.684,0,0,822,1779,0.9,0.333,0.917,0.489,0.394,754,1509,68,270,,,,,,,,,,0.579,0.75,0.5,0.0,0.0,0.0,0.437,0,0,1772,1377,1.0,0.563,1.0,0.72,0.563,1772,1377,0,0,,,,,,,,,,0.35,0.341,2025-10-14T21:19:01.058094Z,469e3616267207698b94bf924f4e309fbb95ddcb,TylerSchwenksPC,tyler,experiments\stage4_005,,0.0,15000.0,0.0,15000.0,1.0,,100.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.3
stage4_006,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,789.0,245.0,245.0,245.0,,6.0,139.0,245.0,0.5,0.0,0.0,0.0,0.674,0,0,978,2018,1.0,0.326,1.0,0.492,0.326,978,2018,0,0,,,,,,,,,,0.468,0.7,0.5,0.0,0.0,0.0,0.484,0,0,1894,1777,1.0,0.516,1.0,0.681,0.516,1894,1777,0,0,,,,,,,,,,0.306,0.373,2025-10-14T21:33:15.173826Z,469e3616267207698b94bf924f4e309fbb95ddcb,TylerSchwenksPC,tyler,experiments\stage4_006,,0.0,15000.0,0.0,15000.0,1.0,,100.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.3
stage4_007,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,123.0,245.0,245.0,245.0,,6.0,139.0,245.0,0.5,0.0,0.0,0.0,0.636,0,0,1201,2101,0.85,0.563,0.553,0.558,0.681,664,515,537,1586,,,,,,,,,,0.657,0.748,0.5,0.0,0.0,0.0,0.45,0,0,2193,1793,1.0,0.55,1.0,0.71,0.55,2193,1793,0,0,,,,,,,,,,0.529,0.449,2025-10-14T21:47:33.969012Z,469e3616267207698b94bf924f4e309fbb95ddcb,TylerSchwenksPC,tyler,experiments\stage4_007,,0.0,15000.0,0.0,15000.0,1.0,,100.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.5
stage4_008,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,456.0,245.0,245.0,245.0,,6.0,139.0,245.0,0.5,0.0,0.0,0.0,0.673,0,0,1034,2126,0.9,0.396,0.733,0.514,0.546,758,1158,276,968,,,,,,,,,,0.63,0.75,0.5,0.0,0.0,0.0,0.492,0,0,1945,1881,1.0,0.508,1.0,0.674,0.508,1945,1881,0,0,,,,,,,,,,0.338,0.391,2025-10-14T22:02:18.411407Z,469e3616267207698b94bf924f4e309fbb95ddcb,TylerSchwenksPC,tyler,experiments\stage4_008,,0.0,15000.0,0.0,15000.0,1.0,,100.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.5
stage4_009,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,789.0,245.0,245.0,245.0,,6.0,139.0,245.0,0.5,0.0,0.0,0.0,0.669,0,0,985,1988,1.0,0.331,1.0,0.498,0.331,985,1988,0,0,,,,,,,,,,0.553,0.702,0.5,0.0,0.0,0.0,0.476,0,0,1893,1722,1.0,0.524,1.0,0.687,0.524,1893,1722,0,0,,,,,,,,,,0.281,0.348,2025-10-14T22:16:26.584151Z,469e3616267207698b94bf924f4e309fbb95ddcb,TylerSchwenksPC,tyler,experiments\stage4_009,,0.0,15000.0,0.0,15000.0,1.0,,100.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.5
stage4_010,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,123.0,245.0,245.0,245.0,,6.0,139.0,245.0,0.5,0.0,0.0,0.0,0.712,0,0,715,1768,0.85,0.48,0.909,0.628,0.69,650,704,65,1064,,,,,,,,,,0.815,0.929,0.5,0.0,0.0,0.0,0.522,0,0,1274,1389,0.85,0.626,0.931,0.749,0.701,1186,708,88,681,,,,,,,,,,0.763,0.826,2025-10-14T22:30:07.668416Z,469e3616267207698b94bf924f4e309fbb95ddcb,TylerSchwenksPC,tyler,experiments\stage4_010,,0.0,15000.0,0.0,15000.0,1.0,,100.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,linear,0.0
